created_at,tweet,favorite_count,retweet_count,is_quote_status,favorited
2022-12-31 19:38:58+00:00,"2022 was great for me :)

Appreciate my friends, family and of course all of you for making this year one of the best years of my life 🙌🏿 https://t.co/PZGdwmTemR",32878,554,True,False
2022-12-31 18:12:31+00:00,👀 https://t.co/Lg38NfKkD8,12684,426,True,False
2022-12-31 17:33:17+00:00,ARSENAL ARSENAL ARSENAL!!!,39896,1046,False,False
2022-12-31 17:23:30+00:00,"Na, if Arsenal win the league in the first year Prime sponsored the club, I’m gonna be soooooo gassed",86942,1410,False,False
2022-12-30 21:43:32+00:00,"Prime will be in a lot of countries next year, I promise 🙌🏿",49575,736,False,False
2022-12-30 21:34:54+00:00,Prime is halal,134449,4674,False,False
2022-12-30 16:32:43+00:00,"You don’t have what it takes to get in the ring with me. You ain’t a fighter. You’re a confused twat. You’re a waste of time. Your career is a failure. 

You’re nothing @dillondanis",43018,661,False,False
2022-12-30 16:29:53+00:00,"You are pathetic @dillondanis 

We both signed the same contract to reach 177.5 pounds with a 7.5 pound rehydration clause months ago

3 weeks before we fight you complain about the rehydration clause like a moron. So we get rid of the rehydration clause. What is your excuse now?",61614,901,False,False
2022-12-30 15:28:14+00:00,@BradleyMartyn I’m not a bodybuilder Bradley 😂😂😂,5980,86,False,False
2022-12-30 12:06:47+00:00,120kg https://t.co/PjjAu1rVuK,28880,613,False,False
2022-12-30 11:57:05+00:00,130kg https://t.co/bpNHiaoqav,73391,1448,False,False
2022-12-30 11:21:24+00:00,@DannyAaronsFUT Congrats bro 🙌🏿,9338,85,False,False
2022-12-30 08:59:30+00:00,Less than 3 weeks till I get to beat up Danis,26881,358,False,False
2022-12-30 08:52:15+00:00,@mws Next year for sure,435,6,False,False
2022-12-30 08:50:43+00:00,@ksinews_ 😂😂😂😂😂😂,4796,27,False,False
2022-12-30 08:48:34+00:00,Karma* https://t.co/OVUtRhmodw,28897,610,True,False
2022-12-30 08:39:44+00:00,@yrgnoahh Lmao here comes this “matrix” bullshit again 😂😂😂😂,2626,23,False,False
2022-12-30 08:30:38+00:00,LMAO 😂😂😂 https://t.co/JLBPj0fBuI,31710,655,True,False
2022-12-29 23:43:28+00:00,Andrew Tate snitched on himself after getting ratio’d by Greta Thunberg 🤣🤣,379382,14188,False,False
2022-12-29 19:36:23+00:00,RIP pele ❤️ https://t.co/t3ix1DzFEv,249971,4815,False,False
2022-12-29 12:34:04+00:00,@tize4PF Ugh what is he doing https://t.co/ZJqUTql0kK,10942,253,False,False
2022-12-29 12:29:40+00:00,@DGMLMA0 @MarkGribbon7 @anthony_foreal @Idrisvirgo @AnEsonGib Can’t have my competition see that lmao,597,11,False,False
2022-12-29 12:28:36+00:00,@MarkGribbon7 @anthony_foreal @Idrisvirgo @AnEsonGib This is me not trying https://t.co/UO4eGT4fiQ,527,17,False,False
2022-12-29 12:22:49+00:00,@anthony_foreal @Idrisvirgo @AnEsonGib Terrible pace,812,11,False,False
2022-12-29 12:21:25+00:00,"@itsrazzhd @SIM2__ @TheSocialsScene @LoganPaul We’re not even trying to do that. We’re making loads of prime daily, the demand is literally too high man",359,7,False,False
2022-12-29 12:17:40+00:00,@baby_nass_ @jimmyoutsold Ah fair enough,246,4,False,False
2022-12-29 12:12:28+00:00,@jimmyoutsold There’s no way that’s Tyler Oakley,448,3,False,False
2022-12-28 23:16:45+00:00,@PrabhhSandhu My new technique is unconventional. But it works for me. Just wait and see,3112,21,False,False
2022-12-28 23:12:57+00:00,"It’s taken a while to understand and get the technique right…

But I think it’s time to show the world now.",50216,487,False,False
2022-12-28 23:08:43+00:00,@kfua_ How I fight. Got rid of the ring rust. Now I get to play,1725,20,False,False
2022-12-28 23:06:51+00:00,January 14th = Level 2 KSI,14931,246,False,False
2022-12-28 23:05:59+00:00,"I promise you, January 14th, you’re all gonna see the difference between me and everyone else in this crossover boxing scene.",38667,529,False,False
2022-12-28 22:40:34+00:00,@MusicConnoisseu This performance is hard af,890,14,False,False
2022-12-28 22:17:34+00:00,Josh showing the levels 🔥🔥🔥🔥 https://t.co/QjkMbSqQvV,27085,363,True,False
2022-12-28 16:24:07+00:00,"@RadmoreB We’re working on it, just takes longer than I thought it would 😂😂",1284,3,False,False
2022-12-28 14:10:46+00:00,"Na I can’t, I’m training but glad there’s other options besides just Asda now 😂😂😂 https://t.co/nctSm7elXO",34322,528,True,False
2022-12-27 14:08:33+00:00,@HeadieOne Stressful few months for you now bro 😂😂😂😂,3705,31,False,False
2022-12-26 12:49:19+00:00,"@JordySloan @MisfitsBoxing @MF_DAZNXSeries @SauerlandBros @MamsTaylor Jordy, long time no speak. I’ve missed your abuse 😂😂😂😂",1527,12,False,False
2022-12-26 12:29:40+00:00,MAJOR NEWS COMING JANUARY 2023 https://t.co/uWo690DI0J,18101,485,False,False
2022-12-26 08:31:48+00:00,"@Akademiks When I’m next in America, 100%",3410,26,False,False
2022-12-25 19:50:48+00:00,Merry Christmas 🫡 https://t.co/rUsKZHlN6s,25720,282,True,False
